Year(s) of Live Birth,Patient County,Demographic Characteristics,Sort Order,Demographic Strata,"Live Births
(N)","Live Births
(%)",Any Sepsis Events Peripartum (N),"Any Sepsis Events Peripartum (per 100,000)",Severe Sepsis/Septic Shock Peripartum (N),"Severe Sepsis/Septic Shock Peripartum(per 100,000)",Any Sepsis Events During Pregnancy (N),"Any Sepsis Events During Pregnancy (per 100,000)",Severe Sepsis/ Septic Shock During Pregnancy (N),"Severe Sepsis/ Septic Shock During Pregnancy
(per 100,000)",Any Sepsis Events During Delivery (N),"Any Sepsis Events During Delivery (per 100,000)",Severe Sepsis/ Septic Shock During Delivery (N),"Severe Sepsis/ Septic Shock During Delivery
(per 100,000)",Any Sepsis Events During Post-Partum (N),"Any Sepsis Events During Post-Partum (per 100,000)",Severe Sepsis/ Septic Shock During Post-Partum (N),"Severe Sepsis/ Septic Shock During Post-Partum
(per 100,000)"
2016-2018,Rockland,Total,1,Total,"13,848",100,37,267.19,4,28.89,14,101.1,2,14.44,10,72.21,0,0,14,101.1,2,14.44
2016-2018,Saint Lawrence,Age Group,1,<20,242,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saint Lawrence,Age Group,2,20-35,"2,313",83.35,4,172.94,0,0,0,0,0,0,0,0,0,0,4,172.94,0,0
2016-2018,Saint Lawrence,Age Group,3,>35,220,7.93,3,1363.64,0,0,0,0,0,0,2,909.09,0,0,1,454.55,0,0
2016-2018,Saint Lawrence,Education,1,Less than high school,339,12.22,1,294.99,0,0,0,0,0,0,0,0,0,0,1,294.99,0,0
2016-2018,Saint Lawrence,Education,2,High school graduate or GED,714,25.73,4,560.22,0,0,0,0,0,0,1,140.06,0,0,3,420.17,0,0
2016-2018,Saint Lawrence,Education,3,Some College,486,17.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saint Lawrence,Education,4,AA Degree,295,10.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saint Lawrence,Education,5,BA degree or higher,639,23.03,2,312.99,0,0,0,0,0,0,1,156.49,0,0,1,156.49,0,0
2016-2018,Saint Lawrence,Education,6,Unknown,5,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saint Lawrence,Race/Ethnicity,1,"White, Non-Hispanic","2,670",96.22,6,224.72,0,0,0,0,0,0,1,37.45,0,0,5,187.27,0,0
2016-2018,Saint Lawrence,Race/Ethnicity,2,"Black, Non-Hispanic",20,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saint Lawrence,Race/Ethnicity,3,Hispanic,6,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saint Lawrence,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",25,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saint Lawrence,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",35,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saint Lawrence,Race/Ethnicity,6,"Other, Non-Hispanic",11,0.4,1,9090.91,0,0,0,0,0,0,1,9090.91,0,0,0,0,0,0
2016-2018,Saint Lawrence,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",8,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saint Lawrence,Total,1,Total,"2,775",100,7,252.25,0,0,0,0,0,0,2,72.07,0,0,5,180.18,0,0
2016-2018,Saratoga,Age Group,1,<20,231,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saratoga,Age Group,2,20-35,"4,659",79.57,9,193.17,1,21.46,3,64.39,0,0,1,21.46,0,0,5,107.32,1,21.46
2016-2018,Saratoga,Age Group,3,>35,965,16.48,4,414.51,1,103.63,1,103.63,1,103.63,2,207.25,0,0,1,103.63,0,0
2016-2018,Saratoga,Education,1,Less than high school,259,4.42,3,1158.3,1,386.1,2,772.2,0,0,0,0,0,0,1,386.1,1,386.1
2016-2018,Saratoga,Education,2,High school graduate or GED,958,16.36,3,313.15,0,0,0,0,0,0,1,104.38,0,0,2,208.77,0,0
2016-2018,Saratoga,Education,3,Some College,901,15.39,1,110.99,1,110.99,1,110.99,1,110.99,0,0,0,0,0,0,0,0
2016-2018,Saratoga,Education,4,AA Degree,568,9.7,1,176.06,0,0,0,0,0,0,0,0,0,0,1,176.06,0,0
2016-2018,Saratoga,Education,5,BA degree or higher,"2,976",50.83,5,168.01,0,0,1,33.6,0,0,2,67.2,0,0,2,67.2,0,0
2016-2018,Saratoga,Education,6,Unknown,15,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saratoga,Race/Ethnicity,1,"White, Non-Hispanic","5,210",88.98,11,211.13,2,38.39,3,57.58,1,19.19,3,57.58,0,0,5,95.97,1,19.19
2016-2018,Saratoga,Race/Ethnicity,2,"Black, Non-Hispanic",99,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saratoga,Race/Ethnicity,3,Hispanic,146,2.49,2,1369.86,0,0,1,684.93,0,0,0,0,0,0,1,684.93,0,0
2016-2018,Saratoga,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",3,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saratoga,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",335,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saratoga,Race/Ethnicity,6,"Other, Non-Hispanic",62,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Saratoga,Total,1,Total,"5,855",100,13,222.03,2,34.16,4,68.32,1,17.08,3,51.24,0,0,6,102.48,1,17.08
2016-2018,Schenectady,Age Group,1,<20,394,7.58,2,507.61,0,0,0,0,0,0,2,507.61,0,0,0,0,0,0
2016-2018,Schenectady,Age Group,2,20-35,"4,101",78.91,8,195.07,1,24.38,4,97.54,0,0,2,48.77,1,24.38,2,48.77,0,0
2016-2018,Schenectady,Age Group,3,>35,702,13.51,5,712.25,2,284.9,3,427.35,1,142.45,2,284.9,1,142.45,0,0,0,0
2016-2018,Schenectady,Education,1,Less than high school,648,12.47,5,771.6,0,0,3,462.96,0,0,1,154.32,0,0,1,154.32,0,0
2016-2018,Schenectady,Education,2,High school graduate or GED,"1,167",22.46,3,257.07,1,85.69,1,85.69,0,0,2,171.38,1,85.69,0,0,0,0
2016-2018,Schenectady,Education,3,Some College,876,16.86,1,114.16,0,0,1,114.16,0,0,0,0,0,0,0,0,0,0
2016-2018,Schenectady,Education,4,AA Degree,535,10.29,2,373.83,1,186.92,1,186.92,1,186.92,1,186.92,0,0,0,0,0,0
2016-2018,Schenectady,Education,5,BA degree or higher,"1,699",32.69,2,117.72,1,58.86,0,0,0,0,1,58.86,1,58.86,1,58.86,0,0
2016-2018,Schenectady,Education,6,Unknown,51,0.98,1,1960.78,0,0,1,1960.78,0,0,0,0,0,0,0,0,0,0
2016-2018,Schenectady,Race/Ethnicity,1,"White, Non-Hispanic","3,281",63.13,8,243.83,2,60.96,3,91.44,0,0,3,91.44,2,60.96,2,60.96,0,0
2016-2018,Schenectady,Race/Ethnicity,2,"Black, Non-Hispanic",845,16.26,4,473.37,0,0,2,236.69,0,0,2,236.69,0,0,0,0,0,0
2016-2018,Schenectady,Race/Ethnicity,3,Hispanic,340,6.54,1,294.12,0,0,0,0,0,0,1,294.12,0,0,0,0,0,0
2016-2018,Schenectady,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",6,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schenectady,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",458,8.81,1,218.34,1,218.34,1,218.34,1,218.34,0,0,0,0,0,0,0,0
2016-2018,Schenectady,Race/Ethnicity,6,"Other, Non-Hispanic",267,5.14,1,374.53,0,0,1,374.53,0,0,0,0,0,0,0,0,0,0
2016-2018,Schenectady,Total,1,Total,"5,197",100,15,288.63,3,57.73,7,134.69,1,19.24,6,115.45,2,38.48,2,38.48,0,0
2016-2018,Schoharie,Age Group,1,<20,49,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Age Group,2,20-35,593,83.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Age Group,3,>35,70,9.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Education,1,Less than high school,62,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Education,2,High school graduate or GED,199,27.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Education,3,Some College,146,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Education,4,AA Degree,113,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Education,5,BA degree or higher,173,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Education,6,Unknown,2,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Race/Ethnicity,1,"White, Non-Hispanic",679,95.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Race/Ethnicity,2,"Black, Non-Hispanic",8,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Race/Ethnicity,3,Hispanic,14,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",9,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Race/Ethnicity,6,"Other, Non-Hispanic",2,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schoharie,Total,1,Total,712,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Age Group,1,<20,43,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Age Group,2,20-35,354,81.76,1,282.49,0,0,1,282.49,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Age Group,3,>35,36,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Education,1,Less than high school,51,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Education,2,High school graduate or GED,118,27.25,1,847.46,0,0,1,847.46,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Education,3,Some College,97,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Education,4,AA Degree,47,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Education,5,BA degree or higher,110,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Race/Ethnicity,1,"White, Non-Hispanic",417,96.3,1,239.81,0,0,1,239.81,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Race/Ethnicity,2,"Black, Non-Hispanic",3,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Race/Ethnicity,3,Hispanic,10,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",1,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Race/Ethnicity,6,"Other, Non-Hispanic",2,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Schuyler,Total,1,Total,433,100,1,230.95,0,0,1,230.95,0,0,0,0,0,0,0,0,0,0
2016-2018,Seneca,Age Group,1,<20,72,7.69,2,2777.78,1,1388.89,1,1388.89,1,1388.89,1,1388.89,0,0,0,0,0,0
2016-2018,Seneca,Age Group,2,20-35,749,80.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Seneca,Age Group,3,>35,115,12.29,3,2608.7,2,1739.13,0,0,0,0,0,0,0,0,3,2608.7,2,1739.13
2016-2018,Seneca,Education,1,Less than high school,123,13.14,3,2439.02,1,813.01,1,813.01,1,813.01,1,813.01,0,0,1,813.01,0,0
2016-2018,Seneca,Education,2,High school graduate or GED,263,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Seneca,Education,3,Some College,192,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Seneca,Education,4,AA Degree,95,10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Seneca,Education,5,BA degree or higher,227,24.25,2,881.06,2,881.06,0,0,0,0,0,0,0,0,2,881.06,2,881.06
2016-2018,Seneca,Education,6,Unknown,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Seneca,Race/Ethnicity,1,"White, Non-Hispanic",790,84.4,SS,SS,SS,SS,1,126.58,1,126.58,SS,SS,SS,SS,2,253.16,1,126.58
2016-2018,Seneca,Race/Ethnicity,2,"Black, Non-Hispanic",25,2.67,SS,SS,SS,SS,0,0,0,0,SS,SS,SS,SS,0,0,0,0
2016-2018,Seneca,Race/Ethnicity,3,Hispanic,32,3.42,SS,SS,SS,SS,0,0,0,0,SS,SS,SS,SS,0,0,0,0
2016-2018,Seneca,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",4,0.43,SS,SS,SS,SS,0,0,0,0,SS,SS,SS,SS,0,0,0,0
2016-2018,Seneca,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",74,7.91,SS,SS,SS,SS,0,0,0,0,SS,SS,SS,SS,1,1351.35,1,1351.35
2016-2018,Seneca,Race/Ethnicity,6,"Other, Non-Hispanic",4,0.43,SS,SS,SS,SS,0,0,0,0,SS,SS,SS,SS,0,0,0,0
2016-2018,Seneca,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",7,0.75,SS,SS,SS,SS,0,0,0,0,SS,SS,SS,SS,0,0,0,0
2016-2018,Seneca,Total,1,Total,936,100,5,534.19,3,320.51,1,106.84,1,106.84,1,106.84,0,0,3,320.51,2,213.68
2016-2018,Steuben,Age Group,1,<20,253,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Steuben,Age Group,2,20-35,"2,233",81.98,6,268.7,1,44.78,0,0,0,0,3,134.35,1,44.78,3,134.35,0,0
2016-2018,Steuben,Age Group,3,>35,238,8.74,1,420.17,0,0,0,0,0,0,0,0,0,0,1,420.17,0,0
2016-2018,Steuben,Education,1,Less than high school,282,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Steuben,Education,2,High school graduate or GED,781,28.67,2,256.08,0,0,0,0,0,0,1,128.04,0,0,1,128.04,0,0
2016-2018,Steuben,Education,3,Some College,547,20.08,1,182.82,0,0,0,0,0,0,0,0,0,0,1,182.82,0,0
2016-2018,Steuben,Education,4,AA Degree,338,12.41,2,591.72,1,295.86,0,0,0,0,2,591.72,1,295.86,0,0,0,0
2016-2018,Steuben,Education,5,BA degree or higher,638,23.42,2,313.48,0,0,0,0,0,0,0,0,0,0,2,313.48,0,0
2016-2018,Steuben,Education,6,Unknown,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Steuben,Race/Ethnicity,1,"White, Non-Hispanic","2,551",93.65,6,235.2,1,39.2,0,0,0,0,3,117.6,1,39.2,3,117.6,0,0
2016-2018,Steuben,Race/Ethnicity,2,"Black, Non-Hispanic",53,1.95,1,1886.79,0,0,0,0,0,0,0,0,0,0,1,1886.79,0,0
2016-2018,Steuben,Race/Ethnicity,3,Hispanic,50,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Steuben,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",6,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Steuben,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",48,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Steuben,Race/Ethnicity,6,"Other, Non-Hispanic",16,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Steuben,Total,1,Total,"2,724",100,7,256.98,1,36.71,0,0,0,0,3,110.13,1,36.71,4,146.84,0,0
2016-2018,Suffolk,Age Group,1,<20,"2,171",4.92,26,1197.6,7,322.43,15,690.93,6,276.37,10,460.62,1,46.06,1,46.06,0,0
2016-2018,Suffolk,Age Group,2,20-35,"33,100",75.08,121,365.56,24,72.51,38,114.8,10,30.21,41,123.87,8,24.17,46,138.97,6,18.13
2016-2018,Suffolk,Age Group,3,>35,"8,816",20,30,340.29,6,68.06,4,45.37,0,0,15,170.15,3,34.03,11,124.77,3,34.03
2016-2018,Suffolk,Education,1,Less than high school,"7,340",16.65,49,667.57,9,122.62,15,204.36,3,40.87,22,299.73,3,40.87,12,163.49,3,40.87
2016-2018,Suffolk,Education,2,High school graduate or GED,"7,792",17.67,38,487.68,10,128.34,20,256.67,7,89.84,12,154,2,25.67,7,89.84,1,12.83
2016-2018,Suffolk,Education,3,Some College,"7,211",16.36,32,443.77,5,69.34,7,97.07,3,41.6,11,152.54,1,13.87,15,208.02,1,13.87
2016-2018,Suffolk,Education,4,AA Degree,"3,401",7.71,5,147.02,3,88.21,0,0,0,0,4,117.61,3,88.21,1,29.4,0,0
2016-2018,Suffolk,Education,5,BA degree or higher,"17,319",39.28,48,277.15,8,46.19,13,75.06,3,17.32,14,80.84,1,5.77,23,132.8,4,23.1
2016-2018,Suffolk,Education,6,Unknown,396,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Suffolk,Race/Ethnicity,1,"White, Non-Hispanic","23,013",52.2,67,291.14,13,56.49,16,69.53,4,17.38,23,99.94,6,26.07,28,121.67,3,13.04
2016-2018,Suffolk,Race/Ethnicity,2,"Black, Non-Hispanic","3,574",8.11,19,531.62,6,167.88,8,223.84,4,111.92,4,111.92,0,0,8,223.84,2,55.96
2016-2018,Suffolk,Race/Ethnicity,3,Hispanic,"14,895",33.79,73,490.1,11,73.85,29,194.7,6,40.28,30,201.41,3,20.14,16,107.42,2,13.43
2016-2018,Suffolk,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",56,0.13,1,1785.71,0,0,0,0,0,0,1,1785.71,0,0,0,0,0,0
2016-2018,Suffolk,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic","2,166",4.91,14,646.35,5,230.84,2,92.34,1,46.17,7,323.18,2,92.34,6,277.01,2,92.34
2016-2018,Suffolk,Race/Ethnicity,6,"Other, Non-Hispanic",270,0.61,3,1111.11,2,740.74,2,740.74,1,370.37,1,370.37,1,370.37,0,0,0,0
2016-2018,Suffolk,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",113,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Suffolk,Total,1,Total,"44,087",100,177,401.48,37,83.92,57,129.29,16,36.29,66,149.7,12,27.22,58,131.56,9,20.41
2016-2018,Sullivan,Age Group,1,<20,154,7.68,1,649.35,0,0,0,0,0,0,0,0,0,0,1,649.35,0,0
2016-2018,Sullivan,Age Group,2,20-35,"1,571",78.39,7,445.58,0,0,1,63.65,0,0,3,190.96,0,0,3,190.96,0,0
2016-2018,Sullivan,Age Group,3,>35,279,13.92,2,716.85,0,0,0,0,0,0,1,358.42,0,0,1,358.42,0,0
2016-2018,Sullivan,Education,1,Less than high school,340,16.97,5,1470.59,0,0,1,294.12,0,0,1,294.12,0,0,3,882.35,0,0
2016-2018,Sullivan,Education,2,High school graduate or GED,728,36.33,1,137.36,0,0,0,0,0,0,1,137.36,0,0,0,0,0,0
2016-2018,Sullivan,Education,3,Some College,386,19.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Sullivan,Education,4,AA Degree,197,9.83,3,1522.84,0,0,0,0,0,0,2,1015.23,0,0,1,507.61,0,0
2016-2018,Sullivan,Education,5,BA degree or higher,327,16.32,1,305.81,0,0,0,0,0,0,0,0,0,0,1,305.81,0,0
2016-2018,Sullivan,Education,6,Unknown,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Sullivan,Race/Ethnicity,1,"White, Non-Hispanic","1,433",71.51,8,558.27,0,0,0,0,0,0,4,279.13,0,0,4,279.13,0,0
2016-2018,Sullivan,Race/Ethnicity,2,"Black, Non-Hispanic",145,7.24,1,689.66,0,0,1,689.66,0,0,0,0,0,0,0,0,0,0
2016-2018,Sullivan,Race/Ethnicity,3,Hispanic,367,18.31,1,272.48,0,0,0,0,0,0,0,0,0,0,1,272.48,0,0
2016-2018,Sullivan,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",39,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Sullivan,Race/Ethnicity,6,"Other, Non-Hispanic",7,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Sullivan,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",13,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Sullivan,Total,1,Total,"2,004",100,10,499,0,0,1,49.9,0,0,4,199.6,0,0,5,249.5,0,0
2016-2018,Tioga,Age Group,1,<20,95,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tioga,Age Group,2,20-35,738,80.22,2,271,1,135.5,0,0,0,0,1,135.5,1,135.5,1,135.5,0,0
2016-2018,Tioga,Age Group,3,>35,87,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tioga,Education,1,Less than high school,61,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tioga,Education,2,High school graduate or GED,195,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tioga,Education,3,Some College,142,15.43,1,704.23,1,704.23,0,0,0,0,1,704.23,1,704.23,0,0,0,0
2016-2018,Tioga,Education,4,AA Degree,114,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tioga,Education,5,BA degree or higher,206,22.39,1,485.44,0,0,0,0,0,0,0,0,0,0,1,485.44,0,0
2016-2018,Tioga,Education,6,Unknown,2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tioga,Race/Ethnicity,1,"White, Non-Hispanic",880,95.65,2,227.27,1,113.64,0,0,0,0,1,113.64,1,113.64,1,113.64,0,0
2016-2018,Tioga,Race/Ethnicity,2,"Black, Non-Hispanic",9,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tioga,Race/Ethnicity,3,Hispanic,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tioga,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",8,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tioga,Race/Ethnicity,6,"Other, Non-Hispanic",22,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tioga,Total,1,Total,920,100,2,217.39,1,108.7,0,0,0,0,1,108.7,1,108.7,1,108.7,0,0
2016-2018,Tompkins,Age Group,1,<20,99,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tompkins,Age Group,2,20-35,"1,593",77.52,3,188.32,1,62.77,2,125.55,0,0,0,0,0,0,1,62.77,1,62.77
2016-2018,Tompkins,Age Group,3,>35,363,17.66,2,550.96,1,275.48,1,275.48,1,275.48,1,275.48,0,0,0,0,0,0
2016-2018,Tompkins,Education,1,Less than high school,138,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tompkins,Education,2,High school graduate or GED,335,16.3,1,298.51,0,0,1,298.51,0,0,0,0,0,0,0,0,0,0
2016-2018,Tompkins,Education,3,Some College,296,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tompkins,Education,4,AA Degree,177,8.61,2,1129.94,0,0,1,564.97,0,0,1,564.97,0,0,0,0,0,0
2016-2018,Tompkins,Education,5,BA degree or higher,"1,079",52.51,2,185.36,2,185.36,1,92.68,1,92.68,0,0,0,0,1,92.68,1,92.68
2016-2018,Tompkins,Education,6,Unknown,5,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tompkins,Race/Ethnicity,1,"White, Non-Hispanic","1,651",80.34,3,181.71,0,0,2,121.14,0,0,1,60.57,0,0,0,0,0,0
2016-2018,Tompkins,Race/Ethnicity,2,"Black, Non-Hispanic",120,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tompkins,Race/Ethnicity,3,Hispanic,55,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tompkins,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tompkins,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",205,9.98,2,975.61,2,975.61,1,487.8,1,487.8,0,0,0,0,1,487.8,1,487.8
2016-2018,Tompkins,Race/Ethnicity,6,"Other, Non-Hispanic",21,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Tompkins,Total,1,Total,"2,055",100,5,243.31,2,97.32,3,145.99,1,48.66,1,48.66,0,0,1,48.66,1,48.66
2016-2018,Ulster,Age Group,1,<20,245,6.04,1,408.16,0,0,1,408.16,0,0,0,0,0,0,0,0,0,0
2016-2018,Ulster,Age Group,2,20-35,"3,173",78.27,7,220.61,2,63.03,3,94.55,0,0,0,0,0,0,4,126.06,2,63.03
2016-2018,Ulster,Age Group,3,>35,636,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ulster,Education,1,Less than high school,425,10.48,1,235.29,0,0,0,0,0,0,0,0,0,0,1,235.29,0,0
2016-2018,Ulster,Education,2,High school graduate or GED,936,23.09,1,106.84,0,0,1,106.84,0,0,0,0,0,0,0,0,0,0
2016-2018,Ulster,Education,3,Some College,817,20.15,4,489.6,1,122.4,2,244.8,0,0,0,0,0,0,2,244.8,1,122.4
2016-2018,Ulster,Education,4,AA Degree,445,10.98,1,224.72,0,0,1,224.72,0,0,0,0,0,0,0,0,0,0
2016-2018,Ulster,Education,5,BA degree or higher,"1,309",32.29,1,76.39,1,76.39,0,0,0,0,0,0,0,0,1,76.39,1,76.39
2016-2018,Ulster,Education,6,Unknown,18,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ulster,Race/Ethnicity,1,"White, Non-Hispanic","3,162",78,4,126.5,1,31.63,1,31.63,0,0,0,0,0,0,3,94.88,1,31.63
2016-2018,Ulster,Race/Ethnicity,2,"Black, Non-Hispanic",299,7.38,1,334.45,0,0,1,334.45,0,0,0,0,0,0,0,0,0,0
2016-2018,Ulster,Race/Ethnicity,3,Hispanic,431,10.63,1,232.02,1,232.02,0,0,0,0,0,0,0,0,1,232.02,1,232.02
